O,A-1,A-2,A-3,A-4,A-5,A-all,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-all
1.057142857,-0.914285714,-0.885714286,-0.742857143,-0.885714286,-0.942857143,1.142857143,-0.914285714,-0.971428571,-0.571428571,-0.885714286,-0.885714286,-0.828571429,-0.657142857,-0.571428571,1.057142857
1.142857143,-0.971428571,-0.714285714,-0.828571429,-0.885714286,-0.628571429,1.228571429,-0.885714286,-0.542857143,-0.571428571,-0.542857143,-0.257142857,-0.685714286,-0.628571429,0.028571429,1.228571429
1.142857143,-0.607142857,-0.535714286,-0.857142857,-0.821428571,-0.607142857,1.321428571,-0.892857143,-0.821428571,-0.892857143,-0.75,-0.75,-0.785714286,-0.785714286,-0.357142857,1.25
1.142857143,-0.828571429,-0.6,-0.685714286,-0.885714286,-0.742857143,1.4,-0.771428571,-0.742857143,-0.6,-0.885714286,-0.942857143,-0.771428571,-0.514285714,-0.428571429,1.171428571
1.171428571,-0.8,-0.6,-0.628571429,-0.628571429,-0.457142857,1.542857143,-0.8,-0.657142857,-0.771428571,-0.657142857,-0.628571429,-0.571428571,-0.914285714,-0.857142857,1.171428571
1.192307692,-0.538461538,-0.384615385,-0.653846154,-0.807692308,-0.5,1.461538462,-0.846153846,-0.692307692,-0.576923077,-0.538461538,-0.769230769,-0.692307692,-0.423076923,-0.307692308,1.230769231
1.285714286,-0.714285714,-0.5,-0.714285714,-0.857142857,-0.464285714,1.392857143,-0.75,-0.464285714,-0.857142857,-0.428571429,-0.571428571,-0.785714286,-0.714285714,-0.035714286,1.321428571
1.285714286,-0.642857143,-0.5,-0.5,-0.642857143,-0.678571429,1.571428571,-0.785714286,-0.75,-0.642857143,-0.714285714,-0.892857143,-0.785714286,-0.642857143,-0.321428571,1.25
1.307692308,-0.846153846,-0.692307692,-0.692307692,-0.923076923,-0.807692308,1.5,-0.769230769,-0.653846154,-0.615384615,-0.5,-0.846153846,-0.769230769,-0.538461538,-0.346153846,1.346153846
1.314285714,-0.657142857,-0.542857143,-0.828571429,-0.828571429,-0.714285714,1.514285714,-0.971428571,-0.742857143,-0.942857143,-0.571428571,-0.942857143,-0.828571429,-0.8,-0.657142857,1.371428571
1.344827586,-0.448275862,-0.517241379,-0.413793103,-0.482758621,-0.724137931,1.724137931,-0.931034483,-0.620689655,-0.586206897,-0.862068966,-0.862068966,-0.103448276,-0.620689655,-0.551724138,1.344827586
1.392857143,-0.714285714,-0.714285714,-0.535714286,-0.571428571,-0.785714286,1.571428571,-0.678571429,-0.607142857,-0.5,-0.714285714,-0.75,-0.607142857,-0.535714286,-0.285714286,1.321428571
1.448275862,-0.517241379,-0.413793103,-0.551724138,-0.689655172,-0.551724138,1.689655172,-0.827586207,-0.482758621,-0.482758621,-0.310344828,-0.689655172,-0.689655172,-0.448275862,-0.206896552,1.344827586
1.457142857,-0.542857143,-0.457142857,-0.2,-0.142857143,-0.628571429,1.8,-0.885714286,-0.6,-0.657142857,-0.628571429,-0.971428571,-0.485714286,-0.657142857,-0.485714286,1.342857143
1.457142857,-0.171428571,-0.285714286,-0.628571429,-0.685714286,-0.485714286,1.914285714,-0.971428571,-0.714285714,-0.828571429,-0.571428571,-0.514285714,-0.742857143,-0.828571429,-0.057142857,1.285714286
1.464285714,-0.392857143,-0.321428571,-0.535714286,-0.607142857,-0.321428571,1.75,-0.785714286,-0.357142857,-0.571428571,-0.392857143,-0.678571429,-0.428571429,-0.535714286,-0.178571429,1.464285714
1.482758621,-0.275862069,-0.310344828,-0.137931034,-0.24137931,-0.655172414,1.827586207,-0.931034483,-0.75862069,-0.655172414,-0.482758621,-0.931034483,-0.413793103,-0.689655172,-0.724137931,1.310344828
1.485714286,-0.485714286,-0.428571429,-0.485714286,-0.771428571,-0.485714286,1.714285714,-0.942857143,-0.971428571,-0.571428571,-0.6,-0.257142857,-0.685714286,-0.428571429,0.0,1.314285714
1.485714286,-0.371428571,-0.457142857,-0.771428571,-0.857142857,-0.742857143,1.771428571,-0.771428571,-0.657142857,-0.657142857,-0.657142857,-0.857142857,-0.971428571,-0.6,-0.428571429,1.457142857
